answer;real;error;
4.38202663467388031648e+00;4.38202663467388120466e+00;8.88178419700125232339e-16;
4.49980967033026590940e+00;4.49980967033026502122e+00;8.88178419700125232339e-16;
4.60517018598809180219e+00;4.60517018598809180219e+00;0.00000000000000000000e+00;
4.70048036579241657051e+00;4.70048036579241657051e+00;0.00000000000000000000e+00;
4.78749174278204669974e+00;4.78749174278204581157e+00;8.88178419700125232339e-16;
4.86753445045558130744e+00;4.86753445045558219562e+00;8.88178419700125232339e-16;
4.94164242260930386408e+00;4.94164242260930386408e+00;0.00000000000000000000e+00;
5.01063529409625552091e+00;5.01063529409625552091e+00;0.00000000000000000000e+00;
5.07517381523382749009e+00;5.07517381523382660191e+00;8.88178419700125232339e-16;
5.13579843705026117817e+00;5.13579843705026206635e+00;8.88178419700125232339e-16;
5.19295685089020953029e+00;5.19295685089021041847e+00;8.88178419700125232339e-16;
5.24702407216048705152e+00;5.24702407216048616334e+00;8.88178419700125232339e-16;
5.29831736654803808761e+00;5.29831736654803631126e+00;1.77635683940025046468e-15;
4.49980967033026590940e+00;4.49980967033026502122e+00;8.88178419700125232339e-16;
4.60517205896370640517e+00;4.60517018598809180219e+00;1.87297561460297856684e-06;
4.70048116439208030215e+00;4.70048036579241657051e+00;7.98599663731636155717e-07;
4.78749241839943806553e+00;4.78749174278204581157e+00;6.75617392253968773730e-07;
4.86753490893232410031e+00;4.86753445045558219562e+00;4.58476741904689788498e-07;
4.94164276867386131897e+00;4.94164242260930386408e+00;3.46064557454894838884e-07;
5.01063555369299251652e+00;5.01063529409625552091e+00;2.59596736995604260301e-07;
5.07517401544095925203e+00;5.07517381523382660191e+00;2.00207132650120911421e-07;
5.13579859321061782396e+00;5.13579843705026206635e+00;1.56160355757606339466e-07;
5.19295697589580562692e+00;5.19295685089021041847e+00;1.25005595208449449274e-07;
5.24702416791921955053e+00;5.24702407216048616334e+00;9.57587333871856571932e-08;
5.29831746360536026685e+00;5.29831736654803631126e+00;9.70573239555960753933e-08;
5.34710753071746847098e+00;5.34710753071746847098e+00;0.00000000000000000000e+00;
4.60517018598809269037e+00;4.60517018598809180219e+00;8.88178419700125232339e-16;
4.70048116439207852579e+00;4.70048036579241657051e+00;7.98599661955279316317e-07;
4.78749211645634176193e+00;4.78749174278204581157e+00;3.73674295950365831231e-07;
4.86753477217338215155e+00;4.86753445045558219562e+00;3.21717799955933969613e-07;
4.94164265162097748885e+00;4.94164242260930386408e+00;2.29011673624768263835e-07;
5.01063547169367407008e+00;5.01063529409625552091e+00;1.77597418549169105972e-07;
5.07517395232867141175e+00;5.07517381523382660191e+00;1.37094844809837468347e-07;
5.13579854523580614512e+00;5.13579843705026206635e+00;1.08185544078764905862e-07;
5.19295693704179672778e+00;5.19295685089021041847e+00;8.61515863093131883943e-08;
5.24702414241033743281e+00;5.24702407216048616334e+00;7.02498512694660348643e-08;
5.29831742119025506099e+00;5.29831736654803631126e+00;5.46422187497341838025e-08;
5.34710758703725019814e+00;5.34710753071746847098e+00;5.63197817271543499373e-08;
5.39362754635236285594e+00;5.39362754635236196776e+00;8.88178419700125232339e-16;
4.70048036579241657051e+00;4.70048036579241657051e+00;0.00000000000000000000e+00;
4.78749241839943717736e+00;4.78749174278204581157e+00;6.75617391365790354030e-07;
4.86753477217338392791e+00;4.86753445045558219562e+00;3.21717801732290809014e-07;
4.94164270223591373110e+00;4.94164242260930386408e+00;2.79626609867023034894e-07;
5.01063549570199739946e+00;5.01063529409625552091e+00;2.01605741878552180424e-07;
5.07517397316459728529e+00;5.07517381523382660191e+00;1.57930770683378796093e-07;
5.13579856017159297465e+00;5.13579843705026206635e+00;1.23121330908304571494e-07;
5.19295694890894043994e+00;5.19295685089021041847e+00;9.80187300214652168506e-08;
5.24702415084689022251e+00;5.24702407216048616334e+00;7.86864040591694902105e-08;
5.29831743120654241608e+00;5.29831736654803631126e+00;6.46585061048199349898e-08;
5.34710758130647700881e+00;5.34710753071746847098e+00;5.05890085378268850036e-08;
5.39362759893850451931e+00;5.39362754635236196776e+00;5.25861425515472546977e-08;
5.43807930892319735250e+00;5.43807930892319557614e+00;1.77635683940025046468e-15;
4.78749174278204403521e+00;4.78749174278204581157e+00;1.77635683940025046468e-15;
4.86753490893232498848e+00;4.86753445045558219562e+00;4.58476742792868208198e-07;
4.94164265162097393613e+00;4.94164242260930386408e+00;2.29011670072054585034e-07;
5.01063549570199828764e+00;5.01063529409625552091e+00;2.01605742766730600124e-07;
5.07517396441529200501e+00;5.07517381523382660191e+00;1.49181465403103175049e-07;
5.13579855586399958156e+00;5.13579843705026206635e+00;1.18813737515210959828e-07;
5.19295694508522576172e+00;5.19295685089021041847e+00;9.41950153432458137104e-08;
5.24702414821129536904e+00;5.24702407216048616334e+00;7.60508092056966233940e-08;
5.29831742837959929204e+00;5.29831736654803631126e+00;6.18315629807852928934e-08;
5.34710758211947556617e+00;5.34710753071746847098e+00;5.14020070951914931356e-08;
5.39362758694968746909e+00;5.39362754635236196776e+00;4.05973255013236666855e-08;
5.43807935159903710343e+00;5.43807930892319557614e+00;4.26758415272843194543e-08;
5.48063892334199120882e+00;5.48063892334199120882e+00;0.00000000000000000000e+00;
4.86753445045558219562e+00;4.86753445045558219562e+00;0.00000000000000000000e+00;
4.94164276867385954262e+00;4.94164242260930386408e+00;3.46064555678537999484e-07;
5.01063547169367407008e+00;5.01063529409625552091e+00;1.77597418549169105972e-07;
5.07517397316459284440e+00;5.07517381523382660191e+00;1.57930766242486697593e-07;
5.13579855586400224610e+00;5.13579843705026206635e+00;1.18813740179746218928e-07;
5.19295694664567175636e+00;5.19295685089021041847e+00;9.57554613378874819318e-08;
5.24702414897428326412e+00;5.24702407216048616334e+00;7.68137971007831765746e-08;
5.29831742920529880081e+00;5.29831736654803631126e+00;6.26572624895516128163e-08;
5.34710758213870729350e+00;5.34710753071746847098e+00;5.14212388225132599473e-08;
5.39362758947720788427e+00;5.39362754635236196776e+00;4.31248459165090025635e-08;
5.43807934322252783943e+00;5.43807930892319557614e+00;3.42993322632878516742e-08;
5.48063895972350501040e+00;5.48063892334199120882e+00;3.63815138015866068599e-08;
5.52146091786224602060e+00;5.52146091786224602060e+00;0.00000000000000000000e+00;
4.94164242260930475226e+00;4.94164242260930386408e+00;8.88178419700125232339e-16;
5.01063555369299606923e+00;5.01063529409625552091e+00;2.59596740548317939101e-07;
5.07517395232867229993e+00;5.07517381523382660191e+00;1.37094845698015888047e-07;
5.13579856017159741555e+00;5.13579843705026206635e+00;1.23121335349196669995e-07;
5.19295694508522664989e+00;5.19295685089021041847e+00;9.41950162314242334105e-08;
5.24702414897427438234e+00;5.24702407216048616334e+00;7.68137882189989795734e-08;
5.29831742889318668688e+00;5.29831736654803631126e+00;6.23451503756200509088e-08;
5.34710758209165604171e+00;5.34710753071746847098e+00;5.13741875707296458131e-08;
5.39362758890569526926e+00;5.39362754635236196776e+00;4.25533333014982417808e-08;
5.43807934492109534830e+00;5.43807930892319557614e+00;3.59978997721555060707e-08;
5.48063895217270236060e+00;5.48063892334199120882e+00;2.88307111517838166037e-08;
5.52146094871157444572e+00;5.52146091786224602060e+00;3.08493284251198929269e-08;
5.56068163101552936922e+00;5.56068163101552759287e+00;1.77635683940025046468e-15;
5.01063529409625552091e+00;5.01063529409625552091e+00;0.00000000000000000000e+00;
5.07517401544096014021e+00;5.07517381523382660191e+00;2.00207133538299331121e-07;
5.13579854523580348058e+00;5.13579843705026206635e+00;1.08185541414229646762e-07;
5.19295694890894310447e+00;5.19295685089021041847e+00;9.80187326860004759510e-08;
5.24702414821129714539e+00;5.24702407216048616334e+00;7.60508109820534627943e-08;
5.29831742920530412988e+00;5.29831736654803631126e+00;6.26572678186221310170e-08;
5.34710758209165160082e+00;5.34710753071746847098e+00;5.13741831298375473125e-08;
5.39362758906614736532e+00;5.39362754635236196776e+00;4.27137853975523285044e-08;
5.43807934459358399693e+00;5.43807930892319557614e+00;3.56703884207831833919e-08;
5.48063895375126897136e+00;5.48063892334199120882e+00;3.04092777625442067801e-08;
5.52146094236830009550e+00;5.52146091786224602060e+00;2.45060540748909261310e-08;
5.56068165744663733818e+00;5.56068163101552759287e+00;2.64311097453173715621e-08;
5.59842195899837413720e+00;5.59842195899837502537e+00;8.88178419700125232339e-16;
5.07517381523382571373e+00;5.07517381523382660191e+00;8.88178419700125232339e-16;
5.13579859321060894217e+00;5.13579843705026206635e+00;1.56160346875822142465e-07;
5.19295693704180738592e+00;5.19295685089021041847e+00;8.61515969674542247958e-08;
5.24702415084688578162e+00;5.24702407216048616334e+00;7.86863996182773917099e-08;
5.29831742837959751569e+00;5.29831736654803631126e+00;6.18315612044284534932e-08;
5.34710758213870018807e+00;5.34710753071746847098e+00;5.14212317170859023463e-08;
5.39362758890569082837e+00;5.39362754635236196776e+00;4.25533288606061432802e-08;
5.43807934459358754964e+00;5.43807930892319557614e+00;3.56703919734968621924e-08;
5.48063895335452144764e+00;5.48063892334199120882e+00;3.00125302388210002391e-08;
5.52146094363044603881e+00;5.52146091786224602060e+00;2.57682000182057890925e-08;
5.56068165190048269153e+00;5.56068163101552759287e+00;2.08849550986656140594e-08;
5.59842198168895244237e+00;5.59842195899837502537e+00;2.26905774169949836505e-08;
5.63478960316924748497e+00;5.63478960316924926133e+00;1.77635683940025046468e-15;
5.13579843705026561906e+00;5.13579843705026206635e+00;3.55271367880050092936e-15;
5.19295697589581095599e+00;5.19295685089021041847e+00;1.25005600537519967475e-07;
5.24702414241033388009e+00;5.24702407216048616334e+00;7.02498477167523560638e-08;
5.29831743120654774515e+00;5.29831736654803631126e+00;6.46585114338904531905e-08;
5.34710758211947378982e+00;5.34710753071746847098e+00;5.14020053188346537354e-08;
5.39362758947721321334e+00;5.39362754635236196776e+00;4.31248512455795207643e-08;
5.43807934492109268376e+00;5.43807930892319557614e+00;3.59978971076202469703e-08;
5.48063895375127074772e+00;5.48063892334199120882e+00;3.04092795389010461804e-08;
5.52146094363043893338e+00;5.52146091786224602060e+00;2.57681929127784314915e-08;
5.56068165329032648714e+00;5.56068163101552759287e+00;2.22747988942728625261e-08;
5.59842197714965728039e+00;5.59842195899837502537e+00;1.81512822550189412141e-08;
5.63478962303167829617e+00;5.63478960316924926133e+00;1.98624290348448084842e-08;
5.66988092298051959972e+00;5.66988092298051959972e+00;0.00000000000000000000e+00;
5.19295685089021041847e+00;5.19295685089021041847e+00;0.00000000000000000000e+00;
5.24702416791922132688e+00;5.24702407216048616334e+00;9.57587351635424965934e-08;
5.29831742119026039006e+00;5.29831736654803631126e+00;5.46422240788047020033e-08;
5.34710758130646901520e+00;5.34710753071746847098e+00;5.05890005442211077025e-08;
5.39362758694968746909e+00;5.39362754635236196776e+00;4.05973255013236666855e-08;
5.43807934322252162218e+00;5.43807930892319557614e+00;3.42993260460389137734e-08;
5.48063895217271213056e+00;5.48063892334199120882e+00;2.88307209217464333051e-08;
5.52146094236830187185e+00;5.52146091786224602060e+00;2.45060558512477655313e-08;
5.56068165190048180335e+00;5.56068163101552759287e+00;2.08849542104871943593e-08;
5.59842197714966527400e+00;5.59842195899837502537e+00;1.81512902486247185152e-08;
5.63478961802753097743e+00;5.63478960316924926133e+00;1.48582817161013736040e-08;
5.66988093932628967053e+00;5.66988092298051959972e+00;1.63457700708136144385e-08;
5.70378247465620091816e+00;5.70378247465620091816e+00;0.00000000000000000000e+00;
5.24702407216048705152e+00;5.24702407216048616334e+00;8.88178419700125232339e-16;
5.29831746360536826046e+00;5.29831736654803631126e+00;9.70573319492018526944e-08;
5.34710758703724309271e+00;5.34710753071746847098e+00;5.63197746217269923363e-08;
5.39362759893851517745e+00;5.39362754635236196776e+00;5.25861532096882910992e-08;
5.43807935159903621525e+00;5.43807930892319557614e+00;4.26758406391058997542e-08;
5.48063895972351211583e+00;5.48063892334199120882e+00;3.63815209070139644609e-08;
5.52146094871156467576e+00;5.52146091786224602060e+00;3.08493186551572762255e-08;
5.56068165744664000272e+00;5.56068163101552759287e+00;2.64311124098526306625e-08;
5.59842198168894711330e+00;5.59842195899837502537e+00;2.26905720879244654498e-08;
5.63478962303168007253e+00;5.63478960316924926133e+00;1.98624308112016478844e-08;
5.66988093932628967053e+00;5.66988092298051959972e+00;1.63457700708136144385e-08;
5.70378249278756843665e+00;5.70378247465620091816e+00;1.81313675184924250061e-08;
5.73657229747919306106e+00;5.73657229747919217289e+00;8.88178419700125232339e-16;
5.29831736654803542308e+00;5.29831736654803631126e+00;8.88178419700125232339e-16;
5.34710753071747024734e+00;5.34710753071746847098e+00;1.77635683940025046468e-15;
5.39362754635236196776e+00;5.39362754635236196776e+00;0.00000000000000000000e+00;
5.43807930892319468796e+00;5.43807930892319557614e+00;8.88178419700125232339e-16;
5.48063892334199120882e+00;5.48063892334199120882e+00;0.00000000000000000000e+00;
5.52146091786224690878e+00;5.52146091786224602060e+00;8.88178419700125232339e-16;
5.56068163101552670469e+00;5.56068163101552759287e+00;8.88178419700125232339e-16;
5.59842195899837324902e+00;5.59842195899837502537e+00;1.77635683940025046468e-15;
5.63478960316925103768e+00;5.63478960316924926133e+00;1.77635683940025046468e-15;
5.66988092298051959972e+00;5.66988092298051959972e+00;0.00000000000000000000e+00;
5.70378247465620180634e+00;5.70378247465620091816e+00;8.88178419700125232339e-16;
5.73657229747919306106e+00;5.73657229747919217289e+00;8.88178419700125232339e-16;
5.76832099579377288734e+00;5.76832099579377199916e+00;8.88178419700125232339e-16;
